 Casos notificados (suspeitos/confirmados) de Dengue por local de residência - Minas Gerais
Notificações por Reg Saúde (CIR)/Municíp Res e Semana epidemiológica notific.
Período:2008
"Reg Saúde (CIR)/Municíp Res";"Em Branco";"Semana 01";"Semana 02";"Semana 03";"Semana 04";"Semana 05";"Semana 06";"Semana 07";"Semana 08";"Semana 09";"Semana 10";"Semana 11";"Semana 12";"Semana 13";"Semana 14";"Semana 15";"Semana 16";"Semana 17";"Semana 18";"Semana 19";"Semana 20";"Semana 21";"Semana 22";"Semana 23";"Semana 24";"Semana 25";"Semana 26";"Semana 27";"Semana 28";"Semana 29";"Semana 30";"Semana 31";"Semana 32";"Semana 33";"Semana 34";"Semana 35";"Semana 36";"Semana 37";"Semana 38";"Semana 39";"Semana 40";"Semana 41";"Semana 42";"Semana 43";"Semana 44";"Semana 45";"Semana 46";"Semana 47";"Semana 48";"Semana 49";"Semana 50";"Semana 51";"Semana 52";"Semana 53";"Total"
".....  FELISBURGO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
".....  MATA VERDE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"31095 Serro";-;-;-;-;-;-;-;1;1;-;2;-;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;9
".....  CONCEICAO DO MATO DENTRO";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  SERRO";-;-;-;-;-;-;-;1;-;-;2;-;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;8
"31096 Itambacuri";-;11;14;4;4;3;1;4;15;11;8;11;8;11;62;74;37;19;16;21;22;14;19;17;4;8;4;3;3;1;-;-;-;-;-;2;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;434
".....  NOVA MODICA";-;1;1;2;2;2;-;1;9;5;1;8;5;7;-;3;3;3;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;55
".....  CAMPANARIO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  ITAMBACURI";-;-;-;-;1;1;-;-;2;1;1;-;1;2;7;14;13;8;10;18;20;11;17;16;4;8;4;3;3;1;-;-;-;-;-;2;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;171
".....  SAO JOSE DO DIVINO";-;10;13;2;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28
".....  FREI GASPAR";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  PESCADOR";-;-;-;-;-;-;-;3;4;5;6;3;2;2;53;56;20;8;6;2;1;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;174
"31097 Juiz de Fora";-;6;8;8;10;5;3;7;18;21;15;23;12;71;130;123;120;102;75;112;70;30;45;25;29;17;8;5;3;2;9;1;1;-;1;3;-;5;-;-;1;2;1;3;2;4;1;2;3;6;7;3;2;3;1163
".....  CORONEL PACHECO";-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
".....  CHIADOR";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
".....  BELMIRO BRAGA";-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
".....  JUIZ DE FORA";-;6;8;7;9;5;2;7;17;18;12;20;9;57;99;101;86;84;65;98;67;28;39;25;28;14;7;5;3;2;9;1;1;-;1;2;-;3;-;-;1;2;1;3;1;4;1;2;3;6;6;3;2;3;983
".....  SANTANA DO DESERTO";-;-;-;-;-;-;1;-;-;-;-;-;1;-;3;-;-;1;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;9
".....  GOIANA";-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
".....  SIMAO PEREIRA";-;-;-;-;-;-;-;-;-;1;-;-;-;-;3;-;2;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
".....  RIO NOVO";-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;2;2;-;2;4;2;-;2;-;-;3;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20
".....  MATIAS BARBOSA";-;-;-;1;1;-;-;-;-;1;-;2;1;12;23;17;29;16;8;8;1;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;126
"31098 Salinas";-;-;-;-;-;-;-;-;-;-;-;1;1;2;9;12;5;3;6;3;3;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;49
".....  FRUTA DE LEITE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  SALINAS";-;-;-;-;-;-;-;-;-;-;-;1;1;2;9;11;5;3;6;2;3;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;45
".....  SANTA CRUZ DE SALINAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"31099 Teófilo Otoni/Malacacheta";-;3;4;11;13;10;2;22;20;16;22;16;7;35;46;69;84;69;89;97;78;57;62;44;27;17;26;11;6;7;4;1;4;-;-;1;1;2;2;-;-;-;-;1;1;2;2;1;4;1;4;4;-;2;1007
".....  SETUBINHA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  MALACACHETA";-;-;-;-;-;-;-;-;-;1;-;-;-;2;2;1;6;1;4;6;1;1;2;-;-;-;4;2;-;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;38
".....  POTE";-;-;-;1;-;-;-;3;3;2;-;-;-;-;2;3;7;-;3;4;5;1;7;1;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;45
".....  ATALEIA";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;2;2;3;1;5;3;-;3;1;1;1;-;-;2;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29
".....  NOVO ORIENTE DE MINAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;8
".....  NOVO CRUZEIRO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;1;1;-;-;1;-;-;2;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
".....  TEOFILO OTONI";-;3;4;9;12;10;2;19;17;13;22;16;7;32;39;60;69;64;79;79;69;50;49;41;21;15;20;7;6;4;2;1;3;-;-;1;-;1;1;-;-;-;-;1;1;2;2;1;3;1;4;4;-;1;867
".....  OURO VERDE DE MINAS";-;-;-;1;1;-;-;-;-;-;-;-;-;-;2;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"31100 São Francisco";-;2;-;4;-;-;3;2;2;2;2;3;9;19;11;28;28;25;12;11;17;14;7;10;10;5;4;9;3;2;4;-;1;5;2;-;3;1;4;2;1;1;6;7;13;12;12;2;4;-;7;4;3;2;340
".....  ICARAI DE MINAS";-;-;-;-;-;-;-;-;-;-;-;1;9;11;5;11;2;1;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;6;1;12;11;3;-;1;-;-;-;-;-;79
".....  URUCUIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  SAO FRANCISCO";-;2;-;4;-;-;3;2;2;2;2;2;-;8;6;17;26;24;12;11;16;12;7;9;10;5;4;9;3;2;4;-;1;5;2;-;3;1;3;1;1;1;-;6;1;1;9;2;3;-;7;4;3;2;260
"31101 Brasília de Minas";-;-;-;-;-;-;-;2;1;-;-;1;-;8;2;11;23;3;7;1;8;5;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;2;-;1;81
".....  VARZELANDIA";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  LONTRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  LUISLANDIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  JAPONVAR";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  PATIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  BRASILIA DE MINAS";-;-;-;-;-;-;-;1;1;-;-;1;-;7;2;8;22;3;6;1;8;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;2;-;1;71
".....  UBAI";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"31102 Peçanha/São João Evangelista/Santa Maria do Suaçuí";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
".....  AGUA BOA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
".....  CANTAGALO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"Total";11;256;456;631;743;550;481;1023;1211;1476;1783;1856;1760;5069;7645;8254;7905;6611;5281;5588;4225;2651;2700;2000;1563;1145;875;558;362;195;185;127;131;132;127;133;104;112;123;93;118;121;167;157;163;205;205;287;324;537;360;317;248;202;79542
 
 Fonte: SINAN/CPDE/SVE/SUBVS/SESMG 
 Notas:

  Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
  Para tabular dados epidemiológicos de um determinado ano selecione na linha a variável de interesse, na Coluna Ano dos 1ºs sintomas; em Períodos Disponíveis assinale o ano inicial da série e todos os posteriores até o ano
atual (p/ incluir casos notificados com atraso) e em Seleções Disponíveis assinale os anos dos 1ºs sintomas (ex: nº de casos com início de sintomas 2007: selecione na linha Município de residência, na Coluna Ano de 1ºs sintomas,
em Períodos disponíveis 2007 até o ano atual e em Seleções assinale Ano de 1ºs sintomas 2007).
Em 2014, houve mudança na ficha referente à nomenclatura de classificação dos casos de dengue.
  Dados de 2006 a 2014 considerados em 30 de maio de 2017.
  Dados de 2015 a 2016 considerados em 28 de agosto de 2018.
  Dados de 2017 considerados em 29 de outubro de 2019.
  Dados de 2018 considerados em 30 de dezembro de 2019.
  Dados de 2019 considerados em 10 de agosto de 2021.
  Dados de 2020 considerados em 13 de julho de 2022.
  Dados de 2021 considerados em 21 de junho de 2023.
  Dados de 2022 considerados em 19 de julho de 2024.
  Dados de 2023 e 2024 considerados em 24 de outubro de 2024, portanto sujeitos a alterações/revisões.
 
 Elaboração: CPDE/SVE/SESMG
 
